headline,text,outlet,resp_direction,sci_direction,resp_net_score,sci_net_score,manual_resp_code,manual_sci_code
Manufacturers ask government to step in to limit coronavirus damage,"Manufacturers ask government to step in to limit coronavirus damage <p>Calls for decisive action follow survey showing UK exports slumped to lowest level in three years</p><ul><li><a href=""https://www.theguardian.com/world/live/2020/mar/15/coronavirus-latest-updates-trump-tests-negative-as-spain-orders-nationwide-lockdown-uk-us-australia-italy-europe-global-economy"">Coronavirus - latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,positive,absent,0.0571428571428571,0.0,,
Trump aides insist Woodward tapes reveal strong leadership on Covid,"Trump aides insist Woodward tapes reveal strong leadership on Covid <ul><li>President on tape: ‘I wanted to always play it down’</li><li>Republican chair: ‘History will look back on him well’</li><li><a href=""https://www.theguardian.com/us-news/2020/sep/12/rage-review-bob-woodward-tapes-donald-trump"">Rage: Will Bob Woodward’s tapes bring down Donald Trump?</a></li></ul>",Guardian,positive,absent,0.0512820512820512,0.0,,
Trump unveils 'warp-speed' effort to create coronavirus vaccine by year's end,"Trump unveils 'warp-speed' effort to create coronavirus vaccine by year's end <ul><li>‘Operation Warp Speed’ to attempt rapid vaccine development</li><li>Bullish Trump says: ‘Vaccine or no vaccine, we’re back’</li><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – live US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a></li></ul>",Guardian,positive,positive,0.1111111111111111,0.0555555555555555,,
Covid-19 misinformation: pro-Trump and QAnon Twitter bots found to be worst culprits,Covid-19 misinformation: pro-Trump and QAnon Twitter bots found to be worst culprits <p>Researchers find coordinated effort to promote conspiracy theory that coronavirus is a bioweapon engineered by China</p>,Guardian,positive,negative,0.0357142857142857,-0.0714285714285714,,
George Floyd memorial: Al Sharpton condemns Trump's 'wickedness in high places' – as it happened,"George Floyd memorial: Al Sharpton condemns Trump's 'wickedness in high places' – as it happened <ul><li><a href=""https://www.theguardian.com/us-news/live/2020/jun/09/george-floyd-buried-black-lives-matter-trump-coronavirus-live?page=with:block-5edfca0f8f08758335228d74#block-5edfca0f8f08758335228d74"">Biden says ‘Now is the time for racial justice’ in remotely delivered message at memorial</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jun/09/george-floyd-buried-black-lives-matter-trump-coronavirus-live?page=with:block-5edfd9808f0860ca20fa8fbc#block-5edfd9808f0860ca20fa8fbc"">Trump nearly fired Esper over dispute about protests – report</a></li><li><a href=""https://www.theguardian.com/us-news/live/2020/jun/09/george-floyd-buried-black-lives-matter-trump-coronavirus-live?page=with:block-5edf9e048f08beee219d802f#block-5edf9e048f08beee219d802f"">Trump says campaign rallies may resume ‘next week’</a></li><li><a href=""https://www.theguardian.com/us-news/2020/jun/09/protests-us-america-cars-weapons"">US protesters attacked by cars driven into crowds and men with guns</a><br></li><li>Sign up to our <a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">First Thing newsletter</a><br></li></ul>",Guardian,positive,absent,0.0153846153846153,0.0,,
US uses coronavirus to challenge Chinese Communist party's grip on power,"US uses coronavirus to challenge Chinese Communist party's grip on power <p>Trump administration portrays crisis as example of danger Beijing’s leadership poses to China and the world</p><ul><li><a href=""https://www.theguardian.com/us-news/series/us-politics-live/latest"">Coronavirus – latest US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">C</a><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">oronavirus – latest global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,positive,absent,0.0238095238095238,0.0,,
Trump again claims Covid-19 will 'go away' as Fauci warns of long road ahead,"Trump again claims Covid-19 will 'go away' as Fauci warns of long road ahead <p>Fauci says virus may be under control at end of 2021 as US faces 4.8m cases and more than 157,000 deaths</p>",Guardian,positive,absent,0.027027027027027,0.0,,
White House down - Covid upturns the US election (again): the 9 October Guardian Weekly,"White House down - Covid upturns the US election (again): the 9 October Guardian Weekly <p>This week, a supreme spreader event in the White House Rose Garden put half of the Trump administration in quarantine. How did it happen – and what will the fallout be? </p><p><a href=""https://support.theguardian.com/uk/subscribe/weekly?promoCode=WWM62X"">Get the Guardian Weekly delivered to your home here</a></p>",Guardian,positive,absent,0.0185185185185185,0.0,,
Democratic candidates say Georgia Senate elections will be decisive for US,"Democratic candidates say Georgia Senate elections will be decisive for US <ul><li>Jon Ossoff and Raphael Warnock face runoff votes on 5 January</li><li>Victory in both races could swing control of Senate to Democrats</li><li><a href=""https://www.theguardian.com/us-news/live/2020/nov/15/donald-trump-fox-news-election-joe-biden-covid-maga-march-live-news"">US politics – live coverage</a></li></ul>",Guardian,positive,absent,0.027027027027027,0.0,,
"Piers Morgan, voice of reason? Now I know the apocalypse is nigh","Piers Morgan, voice of reason? Now I know the apocalypse is nigh <p>The broadcaster has been praised for his Covid-19 response, even turning on his friend Donald Trump. Shame the racism was not enough</p>",Guardian,positive,absent,0.0294117647058823,0.0,,
Trump downplays Covid as cases soar,"Trump downplays Covid as cases soar <p>The president says the US has ‘turned a corner’ on the virus despite case numbers rising in most states</p><ul><li><a href=""https://www.theguardian.com/australia-news/2020/oct/02/us-election-briefing-for-australia-sign-up-for-our-daily-email-newsletter?CMP=cvau_sfl"">Sign up to get the US election briefing for Australia delivered to your email inbox every weekday at 5pm</a></li></ul><ul><br></ul>",Guardian,positive,absent,0.0227272727272727,0.0,,
Trump skips G20 pandemic event to visit golf club as virus ravages US,"Trump skips G20 pandemic event to visit golf club as virus ravages US <p>195,500 new US cases reported in 24-hour period as president skips event focused on ‘coordinated response’ to Covid</p>",Guardian,positive,absent,0.03125,0.0,,
Could the Covid surge be hurting Trump in the midwest?,"Could the Covid surge be hurting Trump in the midwest? <p>Donald Trump continues to downplay the virus, as cases rise in key battleground states</p><ul><li><a href=""https://www.theguardian.com/australia-news/2020/oct/02/us-election-briefing-for-australia-sign-up-for-our-daily-email-newsletter?CMP=cvau_sfl"">Sign up to get this US election briefing for Australia delivered to your email inbox every weekday at 5pm</a></li></ul>",Guardian,positive,absent,0.0232558139534883,0.0,,
US Navy captain fired for raising coronavirus concerns tests positive himself,"US Navy captain fired for raising coronavirus concerns tests positive himself <ul><li>Brett Crozier dismissed from USS Theodore Roosevelt</li><li>Defense secretary insists navy leadership behind firing</li><li><a href=""https://www.theguardian.com/world/live/2020/apr/05/coronavirus-us-deaths-trump-latest-news-updates"">Coronavirus – US updates</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – global updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,positive,absent,0.0277777777777777,0.0,,
Trump 'decapitating' intelligence leadership amid coronavirus crisis – Schiff,Trump 'decapitating' intelligence leadership amid coronavirus crisis – Schiff <p>President says someone should ‘sue the ass off’ whistleblower whose complaint fired official relayed</p>,Guardian,positive,absent,0.0454545454545454,0.0,,
Pence says US is taking 'decisive action' on Covid-19 after Trump's confusing speech,"Pence says US is taking 'decisive action' on Covid-19 after Trump's confusing speech <p>Vice-president admits coronavirus is more lethal than seasonal flu and attempts to clear up confusion over insurance</p><ul><li><a href=""https://www.theguardian.com/world/2020/mar/02/how-to-protect-yourself-coronavirus"">How to protect yourself against coronavirus</a></li><li><a href=""https://www.theguardian.com/world/2020/mar/12/coronavirus-symptoms-what-are-they-and-should-i-see-a-doctor"">What are the symptoms and should I see a doctor?</a></li></ul>",Guardian,positive,absent,0.0434782608695652,0.0,,
Scramble under way in Washington to trace spread of Covid among US leadership,"Scramble under way in Washington to trace spread of Covid among US leadership <p>Donald Trump’s positive test after hectic week puts White House into crisis mode </p><ul><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Coronavirus – latest updates</a></li><li><a href=""https://www.theguardian.com/world/coronavirus-outbreak"">See all our coronavirus coverage</a></li></ul>",Guardian,positive,absent,0.0285714285714285,0.0,,
October surprise! Social media restricts Biden story,"October surprise! Social media restricts Biden story <p>Facebook and Twitter take steps to stem the reach of New York Post story as Melania Trump reveals Barron had Covid too</p><ul><li><a href=""https://www.theguardian.com/australia-news/2020/oct/02/us-election-briefing-for-australia-sign-up-for-our-daily-email-newsletter?CMP=cvau_sfl"">Sign up to get the US election briefing for Australia delivered to your email inbox every weekday at 5pm</a></li></ul>",Guardian,positive,absent,0.0208333333333333,0.0,,
First Thing: Trump flouts Covid regulations with another indoor rally,"First Thing: Trump flouts Covid regulations with another indoor rally <p>President held apacked event for thousands in Nevada, as aides insisted he had shown ‘strong leadership’ on the pandemic. Plus, Dominic Thiem breaks the big three’s hold on grand slams</p>",Guardian,positive,absent,0.048780487804878,0.0,,
Only three out of 53 countries say US has handled coronavirus better than China,Only three out of 53 countries say US has handled coronavirus better than China <p>Survey reveals deep global dissatisfaction with US leadership under Donald Trump<br></p>,Guardian,positive,absent,0.04,0.0,,
"In true nativist fashion, Trump is blaming immigrants for US problems","In true nativist fashion, Trump is blaming immigrants for US problems <p>A global pandemic has delivered a nativist, if temporary and ad hoc, fever dream. It could get much worse</p>",Guardian,positive,absent,0.0333333333333333,0.0,,
Biden sexual assault accuser Tara Reade calls on him to drop out of 2020 race – as it happened,"Biden sexual assault accuser Tara Reade calls on him to drop out of 2020 race – as it happened <ul><li>Reade sat down with Megyn Kelly for on-camera interview</li><li><a href=""https://www.theguardian.com/world/live/2020/may/07/coronavirus-us-live-donald-trump-shelves-cdc-reopening-guidelines-cuomo-latest-news-updates?page=with:block-5eb4224f8f08b874d8d6278a#block-5eb4224f8f08b874d8d6278a"">Personal valet to Trump test positive for coronavirus</a></li><li><a href=""https://www.theguardian.com/world/live/2020/may/07/coronavirus-us-live-donald-trump-shelves-cdc-reopening-guidelines-cuomo-latest-news-updates?page=with:block-5eb435848f0858b1a8105f8e#block-5eb435848f0858b1a8105f8e"">House announces task force to investigate ‘China’s cover-up’</a></li><li><a href=""https://www.theguardian.com/world/live/2020/may/07/coronavirus-us-live-donald-trump-shelves-cdc-reopening-guidelines-cuomo-latest-news-updates?page=with:block-5eb401358f084f376b965122#block-5eb401358f084f376b965122"">Trump shelves CDC’s reopening guidelines for being too cautious</a><br></li><li><a href=""https://www.theguardian.com/business/2020/may/07/us-unemployment-jobless-coronavirus-economy"">Three million more Americans file for unemployment</a></li><li><a href=""https://www.theguardian.com/technology/2020/may/07/amazon-warehouse-workers-coronavirus-time-off-california"">Revealed: Amazon told workers sick leave law doesn’t cover warehouses</a></li><li><a href=""https://www.theguardian.com/world/series/coronavirus-live/latest"">Live global updates</a><br></li><li>Get a fresh perspective on America – sign up to our <a href=""https://www.theguardian.com/info/2018/sep/17/guardian-us-morning-briefing-sign-up-to-stay-informed"">First Thing newsletter</a><br></li></ul>",Guardian,positive,absent,0.0113636363636363,0.0,,
First Thing: Trump is undermining America's coronavirus recovery,"First Thing: Trump is undermining America's coronavirus recovery <p>Public health experts say the president’s lack of leadership has actively hindered the efforts of his own administration. Plus, why jaywalking laws should be abolished</p>",Guardian,neutral,positive,0.0,0.0294117647058823,,
