headline,pub_date,snippet,web_url,word_count,abstract,news_desk,section_name,subsection_name,type_of_material,byline,keywords,outlet,text,pillar_name,type,article_id,month,resp_pos_count,resp_neg_count,resp_norm_pos,resp_norm_neg,resp_net_score,resp_direction,resp_intensity,resp_pos_terms,resp_neg_terms,sci_pos_count,sci_neg_count,sci_norm_pos,sci_norm_neg,sci_net_score,sci_direction,sci_intensity,sci_pos_terms,sci_neg_terms
N.I.H. Director Undercuts Trump’s Comments on Covid-19 Vaccines,2020-09-09 09:25:52+00:00,The National Institutes of Health director told a Senate panel that a vaccine would not be released unless it was safe and effective. Here’s the latest.,https://www.nytimes.com/2020/09/09/world/covid-coronavirus.html,6536,"The director, Dr. Francis Collins, took issue with President Trump’s suggestion that a coronavirus vaccine would be available by Election Day. Indonesia’s capital will reimpose restrictions.",Foreign,World,,News,,,NYT,"N.I.H. Director Undercuts Trump’s Comments on Covid-19 Vaccines The director, Dr. Francis Collins, took issue with President Trump’s suggestion that a coronavirus vaccine would be available by Election Day. Indonesia’s capital will reimpose restrictions.",,,,2020-09,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
How Many Lives Would a More Normal President Have Saved?,2020-09-05 19:30:30+00:00,Trump failed to meet the Covid-19 challenge. But it’s harder to judge whether the overall response was catastrophic or merely mediocre.,https://www.nytimes.com/2020/09/05/opinion/sunday/covid-19-trump.html,1219,Trump failed to meet the Covid-19 challenge. But it’s harder to judge whether the overall response was catastrophic or merely mediocre.,OpEd,Opinion,Sunday Opinion,Op-Ed,By Ross Douthat,,NYT,How Many Lives Would a More Normal President Have Saved? Trump failed to meet the Covid-19 challenge. But it’s harder to judge whether the overall response was catastrophic or merely mediocre.,,,,2020-09,0,2,0.0,62.5,-0.0625,negative,0.0625,,failed; catastrophic,0,0,0.0,0.0,0.0,absent,0.0,,
Trump Vaccine Chief Casts Doubt on Coronavirus Vaccine by Election Day,2020-09-03 09:24:46+00:00,The official called it “extremely unlikely but not impossible” that a vaccine could be available by the end of October. Catch up on the latest.,https://www.nytimes.com/2020/09/03/world/covid-coronavirus.html,7842,"Just as Thailand reached 100 days without a new local case, it found one. The New York Times surveyed more than 1,500 colleges and found that over two-thirds had reported at least one case.",Foreign,World,,News,,,NYT,"Trump Vaccine Chief Casts Doubt on Coronavirus Vaccine by Election Day Just as Thailand reached 100 days without a new local case, it found one. The New York Times surveyed more than 1,500 colleges and found that over two-thirds had reported at least one case.",,,,2020-09,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"White House, Under Fire for Discouraging Coronavirus Testing, Says It Will Buy Millions of Test Kits",2020-08-27 09:19:24+00:00,The move came after the C.D.C. was criticized for discouraging some testing. President Trump promised a vaccine by the end of the year. Catch up on the latest.,https://www.nytimes.com/2020/08/27/world/covid-19-coronavirus.html,7177,"President Trump promised a vaccine by the end of the year. For hurricane-battered Louisiana and Texas, a confluence of disaster.",Foreign,World,,News,,,NYT,"White House, Under Fire for Discouraging Coronavirus Testing, Says It Will Buy Millions of Test Kits President Trump promised a vaccine by the end of the year. For hurricane-battered Louisiana and Texas, a confluence of disaster.",,,,2020-08,0,1,0.0,27.777777777777775,-0.027777777777777776,negative,0.027777777777777776,,disaster,0,0,0.0,0.0,0.0,absent,0.0,,
"C.D.C. Changes Testing Guidance to Exclude People Without Covid-19 Symptoms, Worrying Experts",2020-08-25 09:24:50+00:00,"Experts questioned the change, pointing to the importance of finding infections in the brief window just before the onset of symptoms. Catch up on the latest.",https://www.nytimes.com/2020/08/25/world/covid-19-coronavirus.html,7730,"The U.S. first lady, Melania Trump, called Covid-19 an “invisible enemy” and acknowledged the pandemic’s human toll. Kim Jong-un acknowledged ‘shortcomings’ in North Korea’s fight against the virus.",Foreign,World,,News,,,NYT,"C.D.C. Changes Testing Guidance to Exclude People Without Covid-19 Symptoms, Worrying Experts The U.S. first lady, Melania Trump, called Covid-19 an “invisible enemy” and acknowledged the pandemic’s human toll. Kim Jong-un acknowledged ‘shortcomings’ in North Korea’s fight against the virus.",,,,2020-08,0,1,0.0,22.22222222222222,-0.022222222222222223,negative,0.022222222222222223,,toll,0,0,0.0,0.0,0.0,absent,0.0,,
College Officials Clamp Down on Student Behavior Over Covid-19 Fears,2020-08-20 09:27:09+00:00,"Shutdowns and warnings follow incidents on college campuses. In his convention speech, Joe Biden outlined a national strategy. Catch up on the latest.",https://www.nytimes.com/2020/08/20/world/coronavirus-covid.html,8275,Joe Biden criticized President Trump’s virus response and outlined a strategy to fight the pandemic. Overburdened health care specialists are finding themselves on the front lines as schools reopen.,Foreign,World,,News,,,NYT,College Officials Clamp Down on Student Behavior Over Covid-19 Fears Joe Biden criticized President Trump’s virus response and outlined a strategy to fight the pandemic. Overburdened health care specialists are finding themselves on the front lines as schools reopen.,,,,2020-08,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"As U.S. Schools Move to Reopen Despite Covid-19, Teachers Threaten to Strike",2020-08-19 09:15:20+00:00,"Some teachers’ unions pushed to delay opening schools, and more colleges went online only. Gov. Andrew Cuomo of New York had a few regrets. Here’s the latest.",https://www.nytimes.com/2020/08/19/world/covid-19-coronavirus.html,6571,"Barack Obama and other Democrats denounced President Trump’s handling of the coronavirus crisis. North Korea said that floods, sanctions and the virus had hurt its economy.",Foreign,World,,News,,,NYT,"As U.S. Schools Move to Reopen Despite Covid-19, Teachers Threaten to Strike Barack Obama and other Democrats denounced President Trump’s handling of the coronavirus crisis. North Korea said that floods, sanctions and the virus had hurt its economy.",,,,2020-08,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Trump’s Order on Coronavirus Relief Alarms Governors as Stimulus Talks Stall,2020-08-10 09:22:05+00:00,"Democrats were harshly critical of the order, and even Republicans said it could seriously strain their budgets. Catch up on the latest.",https://www.nytimes.com/2020/08/10/world/coronavirus-covid-19.html,6267,"The Trump administration is ordering schools on Native American reservations to reopen. California’s chief health officer has resigned. The pandemic has now sickened more than 20 million people, according to a Times database.",Foreign,World,,News,,,NYT,"Trump’s Order on Coronavirus Relief Alarms Governors as Stimulus Talks Stall The Trump administration is ordering schools on Native American reservations to reopen. California’s chief health officer has resigned. The pandemic has now sickened more than 20 million people, according to a Times database.",,,,2020-08,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
The Unique U.S. Failure to Control the Virus,2020-08-06 09:00:34+00:00,Slowing the coronavirus has been especially difficult for the United States because of its tradition of prioritizing individualism and missteps by the Trump administration.,https://www.nytimes.com/2020/08/06/us/coronavirus-us.html,5017,Slowing the coronavirus has been especially difficult for the United States because of its tradition of prioritizing individualism and missteps by the Trump administration.,National,U.S.,,News,By David Leonhardt and Lauren Leatherby,,NYT,The Unique U.S. Failure to Control the Virus Slowing the coronavirus has been especially difficult for the United States because of its tradition of prioritizing individualism and missteps by the Trump administration.,,,,2020-08,0,1,0.0,30.303030303030305,-0.030303030303030304,negative,0.030303030303030304,,failure,0,0,0.0,0.0,0.0,absent,0.0,,
Scientists Worry About Political Influence Over Coronavirus Vaccine Project,2020-08-03 00:13:16+00:00,"Operation Warp Speed, the U.S.’s virus vaccine initiative, has moved along rapidly, but some fear pressure to deliver an October surprise for President Trump.",https://www.nytimes.com/2020/08/02/us/politics/coronavirus-vaccine.html,2389,Operation Warp Speed has moved along at a rapid clip. But some people involved in the process fear pressure to deliver an October surprise for President Trump.,Washington,U.S.,Politics,News,"By Sharon LaFraniere, Katie Thomas, Noah Weiland, Peter Baker and Annie Karni",,NYT,Scientists Worry About Political Influence Over Coronavirus Vaccine Project Operation Warp Speed has moved along at a rapid clip. But some people involved in the process fear pressure to deliver an October surprise for President Trump.,,,,2020-08,2,0,55.55555555555555,0.0,0.05555555555555555,positive,0.05555555555555555,warp speed; operation warp speed,,1,0,27.777777777777775,0.0,0.027777777777777776,positive,0.027777777777777776,operation warp speed,
Requiem for a Republican Convention,2020-07-24 11:33:58+00:00,"President Trump retreated on the Republican National Convention as the coronavirus pandemic continued to upend the presidential contest. In Washington, John Lewis will lie in state at the Capitol.",https://www.nytimes.com/2020/07/24/us/elections/2020-presidential-election.html,4871,"President Trump’s decision to cancel the Jacksonville convention underscores how the coronavirus has upended the presidential race. This afternoon, he signed several executive orders addressing the high price of drugs in the United States.",Politics,U.S.,Elections,News,,,NYT,"Requiem for a Republican Convention President Trump’s decision to cancel the Jacksonville convention underscores how the coronavirus has upended the presidential race. This afternoon, he signed several executive orders addressing the high price of drugs in the United States.",,,,2020-07,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Inside Trump’s Failure: The Rush to Abandon Leadership Role on the Virus,2020-07-18 17:54:01+00:00,"The nation’s inability to control the pandemic can be traced to mid-April, when the White House embraced rosy projections to proclaim victory and move on.",https://www.nytimes.com/2020/07/18/us/politics/trump-coronavirus-response-failure-leadership.html,4616,"The roots of the nation’s current inability to control the pandemic can be traced to mid-April, when the White House embraced overly rosy projections to proclaim victory and move on.",Washington,U.S.,Politics,News,"By Michael D. Shear, Noah Weiland, Eric Lipton, Maggie Haberman and David E. Sanger",,NYT,"Inside Trump’s Failure: The Rush to Abandon Leadership Role on the Virus The roots of the nation’s current inability to control the pandemic can be traced to mid-April, when the White House embraced overly rosy projections to proclaim victory and move on.",,,,2020-07,1,1,22.727272727272727,22.727272727272727,0.0,neutral,0.045454545454545456,leadership,failure,0,0,0.0,0.0,0.0,absent,0.0,,
"Fauci Back at the White House, a Day After Trump Aides Tried to Undermine Him",2020-07-13 23:39:58+00:00,"The visit underscored a reality for both President Trump and his most prominent coronavirus adviser, Dr. Anthony Fauci: They are stuck with each other.",https://www.nytimes.com/2020/07/13/us/politics/fauci-trump-coronavirus.html,1613,The visit underscored a reality for both the president and his most prominent coronavirus adviser: They are stuck with each other.,Washington,U.S.,Politics,News,By Michael D. Shear and Noah Weiland,,NYT,"Fauci Back at the White House, a Day After Trump Aides Tried to Undermine Him The visit underscored a reality for both the president and his most prominent coronavirus adviser: They are stuck with each other.",,,,2020-07,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
At Least 5 States Set Single-Day Coronavirus Case Records,2020-07-08 09:16:10+00:00,"The top health official in Tulsa, Okla., suggested that the surge was probably connected to President Trump’s campaign event. Here’s the latest.",https://www.nytimes.com/2020/07/08/world/coronavirus-updates.html,6119,Tulsa’s top health official said the Trump rally last month may have contributed to a local surge in cases. A study in England provided more evidence of crucial risk factors for Covid-19 deaths.,National,World,,News,,,NYT,At Least 5 States Set Single-Day Coronavirus Case Records Tulsa’s top health official said the Trump rally last month may have contributed to a local surge in cases. A study in England provided more evidence of crucial risk factors for Covid-19 deaths.,,,,2020-07,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"As Coronavirus Cases Top 3 Million, Fauci Warns Against Misreading a Falling Death Rate",2020-07-07 09:13:23+00:00,Dr. Anthony Fauci said that it was a “false narrative to take comfort in a lower rate of death.” Here’s the latest.,https://www.nytimes.com/2020/07/07/world/coronavirus-updates.html,8759,President Trump made it official: The U.S. is pulling out of the World Health Organization. President Jair Bolsonaro of Brazil has tested positive. Hong Kong faces a “third wave” of infections.,National,World,,News,,,NYT,"As Coronavirus Cases Top 3 Million, Fauci Warns Against Misreading a Falling Death Rate President Trump made it official: The U.S. is pulling out of the World Health Organization. President Jair Bolsonaro of Brazil has tested positive. Hong Kong faces a “third wave” of infections.",,,,2020-07,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"Coronavirus Cases in U.S. Are Rising, Even as Death Rates Trend Down",2020-07-03 09:40:54+00:00,"The country’s daily infection report topped 50,000 again. Yet the virus appears to be killing fewer of the people it infects. Catch up on the latest.",https://www.nytimes.com/2020/07/03/world/coronavirus-updates.html,8000,"At least five U.S. states set single-day records on Friday as the country’s daily infection report passed 50,000 again. President Trump, in a speech at Mount Rushmore, barely mentioned the pandemic.",Foreign,World,,News,,,NYT,"Coronavirus Cases in U.S. Are Rising, Even as Death Rates Trend Down At least five U.S. states set single-day records on Friday as the country’s daily infection report passed 50,000 again. President Trump, in a speech at Mount Rushmore, barely mentioned the pandemic.",,,,2020-07,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
New Numbers Showing Coronavirus Spread Intrude on a White House in Denial,2020-06-26 23:34:03+00:00,"The Trump administration has insisted for weeks that the pandemic was winding down, but rising cases in Texas, Arizona and Florida indicate otherwise.",https://www.nytimes.com/2020/06/26/us/politics/trump-coronavirus.html,1478,Both President Trump and Vice President Pence seem oblivious to the new chapter in the pandemic.,Washington,U.S.,Politics,News,By Michael D. Shear and Maggie Haberman,,NYT,New Numbers Showing Coronavirus Spread Intrude on a White House in Denial Both President Trump and Vice President Pence seem oblivious to the new chapter in the pandemic.,,,,2020-06,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Brazil and the U.S. Drive New Coronavirus Infections,2020-06-21 11:52:39+00:00,Infections in the U.S. are up 15 percent over the last two weeks. Seven states hit single-day case records Saturday.,https://www.nytimes.com/2020/06/21/world/coronavirus-updates.html,4865,"The W.H.O. reported more than 183,000 new cases, the largest one-day increase so far, as the global tally inched toward nine million. A Trump administration official said the White House was preparing for a potential wave of infections in the fall.",Foreign,World,,News,,,NYT,"Brazil and the U.S. Drive New Coronavirus Infections The W.H.O. reported more than 183,000 new cases, the largest one-day increase so far, as the global tally inched toward nine million. A Trump administration official said the White House was preparing for a potential wave of infections in the fall.",,,,2020-06,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Coronavirus Attacks the Lungs. A Federal Agency Just Halted Funding for New Lung Treatments.,2020-06-19 09:00:32+00:00,"The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients.",https://www.nytimes.com/2020/06/19/health/coronavirus-lung-treatment-funding.html,1876,"The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients.",Science,Health,,News,By Katie Thomas,,NYT,"Coronavirus Attacks the Lungs. A Federal Agency Just Halted Funding for New Lung Treatments. The shift, quietly disclosed on a government website, highlights how the Trump administration is favoring development of vaccines over treatments for the sickest patients.",,,,2020-06,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"With the Federal Health Megaphone Silent, States Struggle With a Shifting Pandemic",2020-06-18 00:14:14+00:00,State and local health officials have been left to figure out how to handle rising infections and to navigate conflicting signals from the White House.,https://www.nytimes.com/2020/06/17/us/politics/coronavirus-pandemic-federal-response.html,1827,"As state and local governments confront a new wave of coronavirus infections, President Trump is sending mixed messages and Washington’s public health bully pulpit has gone silent.",Washington,U.S.,Politics,News,"By Sheryl Gay Stolberg, Noah Weiland, Sarah Mervosh and David E. Sanger",,NYT,"With the Federal Health Megaphone Silent, States Struggle With a Shifting Pandemic As state and local governments confront a new wave of coronavirus infections, President Trump is sending mixed messages and Washington’s public health bully pulpit has gone silent.",,,,2020-06,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Honduran President Tests Positive,2020-06-16 09:27:50+00:00,"And in the U.S., officials in Oklahoma are concerned about President Trump’s planned rally. Florida reported a new daily high of cases. Here’s the latest.",https://www.nytimes.com/2020/06/16/world/coronavirus-live-updates.html,5975,"Scientists at the University of Oxford say they have identified a drug that can reduce coronavirus-related deaths. The virus flares in Beijing. Officials in Tulsa, Okla., worry that President Trump’s planned rally could cause a spike.",National,World,,News,,,NYT,"Honduran President Tests Positive Scientists at the University of Oxford say they have identified a drug that can reduce coronavirus-related deaths. The virus flares in Beijing. Officials in Tulsa, Okla., worry that President Trump’s planned rally could cause a spike.",,,,2020-06,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
"Trump Bans Travel From Brazil, Citing Pandemic",2020-05-24 04:06:39+00:00,The N.B.A. said it might restart its suspended season in late July at a Florida resort.,https://www.nytimes.com/2020/05/24/world/coronavirus-news-update.html,5401,"As the United States marked the Memorial Day weekend, President Trump golfed, some Americans flocked to beaches and the death toll neared 100,000. And in Britain, the prime minister said he would not fire an aide for driving across the country while infected.",Foreign,World,,News,,,NYT,"Trump Bans Travel From Brazil, Citing Pandemic As the United States marked the Memorial Day weekend, President Trump golfed, some Americans flocked to beaches and the death toll neared 100,000. And in Britain, the prime minister said he would not fire an aide for driving across the country while infected.",,,,2020-05,0,2,0.0,39.21568627450981,-0.0392156862745098,negative,0.0392156862745098,,toll; death toll,0,0,0.0,0.0,0.0,absent,0.0,,
Trump Threatens to Leave W.H.O. and Permanently End Funding,2020-05-18 09:14:20+00:00,"As states ease restrictions, public health experts warned of a resurgence of the virus if the authorities move too fast. The Fed chief said the economy would not fully recover until there was a vaccine.",https://www.nytimes.com/2020/05/18/us/coronavirus-updates.html,4232,The president said the organization had made missteps during the pandemic that “have been extremely costly for the world.” A claim he takes hydroxychloroquine was criticized by doctors.,National,U.S.,,News,,,NYT,Trump Threatens to Leave W.H.O. and Permanently End Funding The president said the organization had made missteps during the pandemic that “have been extremely costly for the world.” A claim he takes hydroxychloroquine was criticized by doctors.,,,,2020-05,0,0,0.0,0.0,0.0,absent,0.0,,,0,1,0.0,25.64102564102564,-0.02564102564102564,negative,0.02564102564102564,,hydroxychloroquine
How Many Covid Deaths? Don’t Ask President Trump,2020-05-17 15:26:22+00:00,The president has expressed skepticism about the fatality figures reported to him by his own experts.,https://www.nytimes.com/2020/05/17/opinion/coronavirus-us-death-toll.html,867,The president has expressed skepticism about the fatality figures reported to him by his own experts.,Editorial,Opinion,,Editorial,By The Editorial Board,,NYT,How Many Covid Deaths? Don’t Ask President Trump The president has expressed skepticism about the fatality figures reported to him by his own experts.,,,,2020-05,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
Top Health Officials to Quarantine After Being Exposed,2020-05-09 12:00:40+00:00,The virus has cost President Trump seniors’ support. The F.D.A. approved the first antigen test that can rapidly detect the virus.,https://www.nytimes.com/2020/05/09/us/coronavirus-news-updates.html,4735,Three children have died of a mysterious syndrome linked to the virus. Trump’s support among seniors slips as the pandemic becomes more political.,National,U.S.,,News,,,NYT,Top Health Officials to Quarantine After Being Exposed Three children have died of a mysterious syndrome linked to the virus. Trump’s support among seniors slips as the pandemic becomes more political.,,,,2020-05,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
White House Rejects C.D.C.’s Coronavirus Reopening Plan,2020-05-07 19:15:33+00:00,The agency’s detailed guidelines for reopening were blocked from publication after Trump administration officials labeled them “overly prescriptive.”,https://www.nytimes.com/2020/05/07/us/politics/trump-cdc.html,1137,Detailed guidelines for reopening drafted by the Centers for Disease Control and Prevention were blocked from publication after Trump administration officials labeled them “overly prescriptive.”,Washington,U.S.,Politics,News,By Abby Goodnough and Maggie Haberman,,NYT,White House Rejects C.D.C.’s Coronavirus Reopening Plan Detailed guidelines for reopening drafted by the Centers for Disease Control and Prevention were blocked from publication after Trump administration officials labeled them “overly prescriptive.”,,,,2020-05,0,0,0.0,0.0,0.0,absent,0.0,,,0,0,0.0,0.0,0.0,absent,0.0,,
